x1,x2,x3
163,156,142
163,157,145
165,160,142
165,160,144
165,160,146
114,121,124
111,120,123
100,110,114
115,120,124
114,122,124
103,112,114
113,118,121
114,122,124
106,115,117
171,173,168
170,172,164
164,166,155
168,171,166
166,168,161
172,173,164
167,170,166
164,166,160
168,170,162
169,167,158
168,164,154
155,153,144
168,166,156
168,164,154
155,152,143
169,167,159
170,166,156
156,154,144
173,171,168
168,167,162
164,163,157
172,170,166
170,169,164
168,168,161
171,170,165
172,172,165
173,173,165
128,114,107
130,115,108
132,117,110
136,121,114
134,117,110
134,118,110
136,120,114
135,118,112
128,113,106
122,113,110
124,114,113
126,116,116
116,108,105
122,114,111
128,119,117
120,112,108
130,122,118
141,132,129
114,121,124
116,124,130
106,114,120
116,121,124
117,124,130
121,127,133
120,126,128
122,130,134
137,144,148
172,152,134
169,141,126
172,142,126
170,148,131
167,139,124
171,142,124
170,146,132
169,141,128
170,142,126
118,124,127
116,123,126
115,122,124
124,129,132
116,122,124
109,115,117
122,129,127
105,112,110
100,107,105
170,163,145
172,166,150
175,170,155
168,162,145
171,166,150
174,170,156
166,160,145
170,165,150
174,170,156
97,106,106
92,101,103
90,100,102
106,114,115
102,111,113
95,104,108
114,122,124
112,121,123
100,110,112
162,166,154
163,168,157
158,162,150
164,167,154
164,168,156
156,160,147
165,168,154
164,168,155
154,157,144
164,170,165
162,170,163
160,169,161
165,171,166
164,170,164
162,170,162
161,167,162
162,168,162
162,170,162
146,141,130
140,135,124
145,141,129
160,154,142
156,150,138
153,147,133
162,154,142
158,152,138
155,149,133
132,120,112
126,114,106
129,118,110
136,122,114
132,119,111
132,119,111
138,122,116
139,124,117
136,122,114
159,151,140
137,129,117
136,128,115
158,149,139
136,128,117
134,126,115
162,153,144
138,131,122
133,128,118
156,154,145
136,134,126
147,144,138
153,150,142
124,121,114
137,133,128
152,148,140
123,119,113
127,122,119
176,184,176
177,183,179
163,169,169
176,184,178
177,184,182
161,169,169
178,185,178
179,186,183
160,168,166
140,128,124
139,128,124
138,127,123
144,132,127
140,130,124
137,127,121
141,130,124
138,128,121
135,126,118
162,160,146
154,154,142
146,148,139
158,157,144
158,158,147
158,159,150
159,160,148
160,160,150
160,160,152
154,151,142
150,147,140
150,148,142
160,158,147
161,159,151
156,156,150
159,156,148
158,156,150
157,156,151
166,163,150
158,154,142
152,147,137
166,163,152
157,153,143
152,146,138
163,162,148
154,152,140
148,144,134
104,112,114
102,112,112
100,111,110
110,119,120
113,124,124
116,128,129
112,120,121
114,124,126
117,127,130
202,181,152
203,180,151
204,180,152
196,175,146
200,178,148
202,180,152
188,169,140
196,175,146
201,179,152
115,122,124
107,115,118
111,120,124
137,143,146
113,120,123
110,119,122
173,179,185
125,133,139
108,116,122
70,89,84
69,88,83
70,89,84
70,90,84
70,89,84
70,90,84
72,91,86
71,90,85
71,90,84
70,87,81
72,88,82
71,87,81
72,89,83
72,88,82
70,86,80
71,88,82
70,86,80
69,86,80
66,80,80
66,80,80
66,80,80
65,80,79
66,81,80
66,80,80
64,80,78
66,82,80
66,81,80
73,93,86
73,93,85
73,93,84
74,94,88
74,94,88
75,95,87
74,94,88
74,94,87
74,94,86
72,90,82
71,89,82
72,90,83
72,90,82
72,90,82
72,90,82
74,92,84
73,91,83
72,90,82
66,90,84
65,89,83
66,90,83
64,90,83
63,88,81
65,90,82
67,91,84
66,90,82
