x1,x2,x3
67,90,82
68,88,84
69,89,86
70,90,87
67,89,84
69,90,86
71,92,88
68,89,85
68,90,86
68,90,86
74,92,84
76,94,86
76,94,87
76,95,88
80,98,92
79,97,91
74,94,88
75,94,89
74,94,88
64,83,82
68,88,86
68,90,86
68,86,86
68,88,86
65,86,83
76,95,94
70,90,88
66,88,84
72,95,90
68,91,87
74,98,92
79,101,95
74,96,90
72,94,88
86,108,100
80,101,94
70,92,84
68,94,86
70,96,89
73,99,92
71,97,89
74,100,92
76,102,94
70,96,88
73,99,91
76,102,94
96,113,99
93,110,98
86,103,94
97,114,100
96,115,102
93,112,102
98,116,101
100,120,106
90,110,98
75,93,86
74,92,85
73,92,84
76,95,87
78,98,88
79,100,90
78,100,89
77,100,88
76,100,87
79,108,95
66,96,84
54,83,74
74,104,88
66,96,82
57,87,76
70,100,86
64,94,82
58,88,78
70,96,86
74,100,90
78,104,94
64,90,79
70,96,86
76,102,92
60,86,76
68,93,84
75,100,92
